review,user_name,review_id,date,prediction,confidence,fake_probability,explanation,star_rating,rating_source
The product is very nice. I got this chair at a very reasonable price. Very much comfortable. The fitting instruments and manual is very clear and precise. Thanks CELLBELL,unknown,,20 March 2026,Genuine,90.21,9.79,"[{'word': 'at', 'weight': 0.6488072820110552}, {'word': 'is very', 'weight': -0.6013527646657179}, {'word': 'much', 'weight': 0.4309758510548196}, {'word': 'and', 'weight': 0.3160917026033443}, {'word': 'fitting', 'weight': 0.30685432409986596}]",3,default
"I recently purchased a Cellbell chair, and overall I am very satisfied with the product. The chair arrived well-packaged and in good condition. The assembly process was simple and took only a short time using the instructions provided.The build quality of the chair is very good. It feels sturdy and durable, and the materials used look premium. The seat cushion is comfortable, and the back support is excellent, which makes it suitable for long hours of sitting, whether for work or study.Another positive point is the smooth height adjustment and the wheels, which move easily without making noise. The design of the chair is also modern and fits well with my workspace.Overall, the Cellbell chair offers great comfort, good quality, and good value for money. I would definitely recommend it to anyone looking for a reliable and comfortable office chair.",unknown,,12 March 2026,Fake,97.78,97.78,"[{'word': 'and the', 'weight': -0.4367110673156086}, {'word': 'and', 'weight': 0.2544686567500314}, {'word': 'very good', 'weight': -0.23991887317059754}, {'word': 'which', 'weight': 0.23883150428607308}, {'word': 'for', 'weight': 0.2207635675808606}]",3,default
"The chair is very comfortable and satisfactory, excellent and price is also affordable.",unknown,,13 March 2026,Fake,92.95,92.95,"[{'word': 'is very', 'weight': -0.5458670977309998}, {'word': 'and', 'weight': 0.4858088403574327}, {'word': 'also', 'weight': -0.4786687282803727}, {'word': 'is also', 'weight': -0.4462397590404142}, {'word': 'price is', 'weight': 0.36239368500528374}]",3,default
"Been using it for quite some time now, good quality for the price! And easy to assemble.",unknown,,12 March 2026,Fake,55.48,55.48,"[{'word': 'quite', 'weight': 0.5591679137930262}, {'word': 'for', 'weight': 0.4666001158583513}, {'word': 'some', 'weight': 0.45626818237338085}, {'word': 'and easy', 'weight': -0.350647950771779}, {'word': 'now', 'weight': 0.3444938024954202}]",3,default
The chair is good .. value for money .. quality of the material is good as well .. happy with this purchase,unknown,,18 March 2026,Fake,66.19,66.19,"[{'word': 'is good', 'weight': -0.47927649723820237}, {'word': 'as', 'weight': 0.4001966654073359}, {'word': 'with', 'weight': 0.3362625033697422}, {'word': 'material is', 'weight': -0.29783446120816226}, {'word': 'as well', 'weight': 0.2771817825432382}]",3,default
Really good quality and comfortable chair. We had a great experience.,unknown,,20 March 2026,Genuine,91.24,8.76,"[{'word': 'really', 'weight': 0.5500685959289565}, {'word': 'quality and', 'weight': -0.36924556076022264}, {'word': 'had', 'weight': -0.367943742034111}, {'word': 'comfortable', 'weight': -0.32207159377998423}, {'word': 'and', 'weight': 0.2631553404489723}]",3,default
Good Quality chair considering the price. Worth it.,unknown,,25 March 2026,Genuine,98.37,1.63,"[{'word': 'worth', 'weight': 0.4476483703857004}, {'word': 'price', 'weight': 0.3591500010088967}, {'word': 'worth it', 'weight': -0.33775906842372766}, {'word': 'considering', 'weight': 0.2870520119151436}, {'word': 'it', 'weight': 0.25101140428634816}]",3,default
"I just received this chair today (14-03-2026) and faced significant difficulty while fixing the backrest during assembly. This exact issue was previously reported by another customer on 15 Feb 2026, yet it persists.The assembly process is otherwise straightforward, but the backrest alignment consumes excessive time and effort, indicating a design or instruction flaw. I request that you take immediate remedial action — either by revising the design, improving the assembly guide, or offering corrective support.While two Allen keys of different sizes are shown in the Box content, only one Allen key was available which is good enough for the assembling. The Box Content may be changed accordingly to avoid confusion. (See attached photo)However appreciate the customer support which was on time and useful.",unknown,,14 March 2026,Genuine,99.75,0.25,"[{'word': 'or', 'weight': 0.43497151364030884}, {'word': 'on', 'weight': 0.30988050749694607}, {'word': 'good enough', 'weight': -0.2849497521782629}, {'word': 'however', 'weight': 0.28466433801105584}, {'word': 'support', 'weight': 0.2811620401153683}]",3,default
